12, 1, 5, 957, 0, 1, 0, 1
74, 1, 7, 1000, 1, 1, 1, 1
10, 2, 3, 710, 1, 0, 0, 1
5, 1, 8, 255, 0, 0, 0, 0
20, 2, 9, 510, 1, 1, 1, 0
8, 0, 5, 857, 0, 1, 1, 0
21, 0, 2, 927, 1, 1, 1, 0
60, 3, 6, 387, 1, 1, 0, 1
85, 3, 7, 650, 0, 1, 0, 1
16, 2, 7, 154, 0, 1, 1, 0
83, 2, 3, 214, 1, 1, 1, 1
26, 3, 5, 494, 0, 0, 1, 1
78, 2, 3, 85, 1, 1, 1, 0
22, 1, 7, 362, 0, 1, 0, 1
28, 1, 2, 429, 0, 1, 1, 1
89, 1, 6, 421, 0, 1, 0, 0
95, 1, 3, 575, 1, 0, 0, 1
80, 2, 0, 247, 0, 1, 1, 1
66, 2, 7, 101, 0, 0, 1, 0
36, 3, 2, 831, 0, 0, 1, 1
30, 2, 1, 399, 1, 1, 1, 1
25, 1, 3, 646, 0, 0, 0, 0
40, 2, 2, 204, 1, 1, 1, 1
3, 3, 1, 531, 1, 1, 1, 0
5, 2, 4, 226, 0, 0, 1, 0
23, 3, 9, 1002, 0, 0, 1, 0
85, 2, 1, 577, 0, 1, 0, 1
22, 0, 8, 102, 0, 0, 1, 1
85, 1, 3, 141, 0, 1, 0, 0
41, 3, 8, 435, 0, 0, 1, 0
43, 1, 2, 401, 1, 0, 1, 0
85, 2, 6, 612, 1, 1, 0, 0
40, 0, 9, 837, 1, 1, 0, 0
89, 1, 3, 803, 0, 1, 0, 1
92, 1, 8, 822, 0, 0, 0, 0
78, 0, 9, 418, 0, 0, 0, 1
33, 0, 3, 718, 0, 1, 1, 1
3, 1, 4, 260, 1, 0, 1, 0
89, 2, 2, 694, 0, 0, 0, 0
23, 2, 2, 548, 0, 1, 0, 0
93, 3, 3, 233, 0, 0, 1, 1
12, 1, 3, 118, 0, 0, 1, 1
37, 3, 6, 692, 0, 1, 1, 0
85, 1, 4, 435, 0, 0, 1, 1
76, 2, 4, 19, 1, 0, 1, 1
17, 1, 8, 421, 0, 1, 1, 0
80, 1, 0, 136, 0, 1, 1, 0
15, 1, 5, 593, 0, 1, 1, 1
8, 0, 7, 813, 1, 0, 0, 1
3, 0, 3, 127, 1, 1, 0, 1
1, 3, 6, 589, 1, 1, 0, 0
93, 0, 2, 416, 1, 1, 0, 0
73, 3, 9, 33, 1, 0, 0, 0
66, 0, 3, 573, 1, 1, 0, 1
95, 2, 4, 573, 0, 0, 0, 0
33, 2, 9, 101, 0, 0, 1, 1
53, 3, 9, 17, 1, 0, 0, 1
35, 3, 8, 343, 0, 0, 1, 0
14, 0, 1, 866, 0, 1, 0, 0
8, 1, 2, 981, 1, 0, 0, 1
86, 1, 9, 722, 0, 0, 1, 1
25, 2, 7, 252, 0, 0, 1, 0
21, 0, 0, 421, 1, 0, 0, 0
52, 3, 2, 386, 0, 1, 0, 0
14, 3, 1, 984, 1, 1, 0, 1
74, 0, 6, 745, 1, 0, 0, 0
96, 0, 9, 155, 1, 1, 1, 0
99, 1, 6, 948, 1, 0, 1, 0
5, 2, 4, 82, 1, 1, 1, 0
73, 1, 5, 595, 1, 0, 0, 1
16, 1, 1, 331, 1, 0, 0, 1
17, 1, 5, 111, 1, 0, 0, 1
97, 0, 9, 706, 0, 1, 1, 0
36, 2, 5, 232, 0, 0, 1, 0
35, 0, 6, 616, 0, 1, 1, 0
40, 2, 3, 233, 1, 0, 1, 0
67, 1, 2, 93, 0, 1, 1, 1
92, 1, 8, 97, 1, 1, 0, 0
7, 0, 1, 731, 1, 0, 0, 1
71, 2, 2, 631, 1, 0, 0, 1
46, 1, 5, 856, 1, 0, 1, 0
99, 2, 6, 721, 0, 0, 0, 0
22, 2, 5, 319, 0, 1, 0, 0
92, 0, 8, 459, 1, 0, 0, 1
20, 2, 5, 1, 0, 1, 1, 1
94, 0, 4, 952, 0, 0, 0, 1
10, 1, 0, 375, 1, 0, 1, 1
19, 3, 1, 543, 1, 0, 1, 1
65, 0, 8, 469, 1, 1, 0, 1
49, 2, 3, 761, 1, 0, 1, 1
71, 3, 0, 88, 0, 0, 0, 0
87, 0, 1, 277, 1, 1, 0, 0
32, 0, 7, 405, 0, 0, 0, 1
40, 0, 5, 302, 0, 0, 1, 0
12, 0, 7, 694, 1, 1, 1, 1
39, 2, 4, 361, 0, 0, 1, 0
62, 0, 2, 218, 1, 1, 1, 1
81, 0, 1, 557, 1, 1, 0, 1
2, 2, 1, 248, 1, 1, 1, 0
22, 3, 4, 241, 0, 0, 0, 0
22, 0, 4, 66, 0, 1, 1, 1
49, 3, 1, 190, 1, 0, 0, 1
51, 0, 2, 809, 1, 0, 0, 1
75, 3, 8, 299, 1, 1, 0, 1
87, 3, 3, 937, 1, 1, 0, 0
55, 1, 9, 892, 0, 1, 0, 1
9, 0, 1, 694, 1, 1, 0, 1
78, 2, 0, 911, 0, 0, 1, 1
11, 2, 7, 365, 0, 1, 0, 0
17, 0, 7, 514, 1, 0, 0, 0
12, 1, 4, 856, 0, 1, 1, 1
8, 3, 0, 190, 1, 0, 1, 1
58, 2, 0, 930, 1, 0, 1, 0
78, 0, 5, 16, 0, 1, 1, 0
15, 0, 4, 60, 0, 1, 1, 1
34, 2, 7, 870, 1, 1, 0, 1
27, 2, 7, 322, 0, 0, 1, 0
11, 0, 0, 663, 0, 1, 0, 1
6, 2, 4, 281, 0, 1, 1, 0
69, 3, 6, 414, 1, 1, 1, 1
80, 0, 7, 365, 0, 1, 1, 1
3, 2, 7, 109, 0, 0, 1, 1
73, 3, 4, 338, 0, 1, 1, 1
38, 0, 1, 286, 1, 0, 1, 0
18, 3, 8, 670, 1, 1, 1, 1
98, 0, 2, 97, 0, 1, 1, 0
55, 0, 8, 912, 1, 0, 1, 0
61, 3, 3, 630, 1, 0, 1, 1
34, 0, 4, 120, 0, 0, 1, 0
13, 1, 1, 623, 1, 0, 1, 0
72, 0, 7, 369, 1, 1, 1, 0
32, 2, 0, 983, 0, 1, 0, 1
80, 1, 1, 149, 0, 0, 1, 0
91, 3, 2, 283, 1, 0, 0, 1
62, 0, 4, 545, 1, 0, 1, 0
23, 0, 7, 118, 1, 0, 0, 1
5, 2, 0, 920, 0, 1, 1, 0
13, 3, 5, 906, 0, 0, 1, 1
88, 0, 0, 470, 0, 1, 0, 1
95, 2, 3, 856, 1, 0, 0, 1
9, 0, 0, 613, 0, 1, 0, 0
50, 3, 0, 924, 0, 1, 1, 1
6, 1, 9, 646, 0, 0, 1, 1
62, 2, 0, 482, 0, 1, 1, 0
40, 1, 1, 708, 0, 0, 0, 0
89, 1, 7, 837, 1, 1, 0, 0
53, 1, 2, 840, 0, 0, 0, 1
47, 2, 4, 755, 0, 0, 1, 1
26, 1, 5, 203, 1, 1, 1, 1
87, 2, 2, 874, 1, 0, 1, 0
51, 1, 9, 441, 0, 1, 1, 0
55, 0, 6, 6, 0, 1, 0, 0
25, 3, 5, 49, 1, 0, 0, 0
62, 1, 9, 488, 0, 0, 1, 0
77, 0, 3, 649, 0, 0, 1, 0
35, 3, 2, 748, 0, 1, 0, 1
